system:index,area,value,.geo
0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.0,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.0,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.0,3.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.0,4.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.0,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.0,6.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.0,7.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.0,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.0,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.0,10.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.0,11.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.0,12.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.0,13.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.0,14.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.0,15.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.0,16.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.0,17.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.0,18.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.0,19.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,416.5279187234243,20.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.0,21.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.0,22.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.0,23.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.0,24.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.0,25.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.0,26.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.0,27.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.0,28.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
